id,route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seat_available
1,Agra to Motihari,https://www.redbus.in/bus-tickets/agra-to-motihari,Bihar state road transport corporation (BSRTC) - 152185,Volvo AC Seater 2+2,28-07-2024 00:25,05h 35m,28-07-2024 06:00,2.4,2500,36
2,Agra to Motihari,https://www.redbus.in/bus-tickets/agra-to-motihari,Panwar Travels,A/C Sleeper (2+1),28-07-2024 00:35,07h 25m,28-07-2024 08:00,2.8,1500,30
3,Agra to Motihari,https://www.redbus.in/bus-tickets/agra-to-motihari,Shree Balajee Travels And Cargo,NON A/C Seater/ Sleeper (2+1),28-07-2024 00:40,05h 05m,28-07-2024 05:45,1.2,1799,47
4,Agra to Motihari,https://www.redbus.in/bus-tickets/agra-to-motihari,Shree Balajee Travels And Cargo,A/C Seater / Sleeper (2+1),28-07-2024 00:45,05h 29m,28-07-2024 06:14,1.2,0,0
5,Balmiki Nagar (bihar) to Patna (Bihar),https://www.redbus.in/bus-tickets/balmiki-nagar-bihar-to-patna,Bihar state road transport corporation (BSRTC) - 146214,AC Seater (2+2),28-07-2024 07:05,04h 40m,28-07-2024 11:45,3.6,428,10
6,Balmiki Nagar (bihar) to Patna (Bihar),https://www.redbus.in/bus-tickets/balmiki-nagar-bihar-to-patna,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),28-07-2024 07:30,05h 00m,28-07-2024 12:30,2.2,0,0
7,Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Bihar state road transport corporation (BSRTC) - 146214,AC Seater (2+2),28-07-2024 08:00,05h 30m,28-07-2024 13:30,3.3,331,25
8,Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Bihar state road transport corporation (BSRTC) - 146159,Non AC Seater (2+2),28-07-2024 08:15,05h 30m,28-07-2024 13:45,2.7,285,42
9,Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Bihar state road transport corporation (BSRTC) - 170674,Non AC Seater (2+2),28-07-2024 08:30,05h 59m,28-07-2024 14:29,2.3,285,40
10,Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Vivek Travels,A/C Seater (2+2),28-07-2024 09:02,04h 43m,28-07-2024 13:45,1.5,400,10
11,Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Vivek Travels,A/C Seater / Sleeper (2+2),28-07-2024 10:00,05h 30m,28-07-2024 15:30,2.7,400,0
12,Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Saurabh Travels,A/C Seater Push Back (2+2),28-07-2024 10:01,05h 00m,28-07-2024 15:01,2.7,445,0
13,Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),28-07-2024 10:31,05h 30m,28-07-2024 16:01,2.3,350,0
14,Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,V.I.P Travels,A/C Seater / Sleeper (2+2),28-07-2024 11:00,05h 00m,28-07-2024 16:00,2.2,450,0
15,Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,V.I.P Travels,Tata A/C Seater (2+2),28-07-2024 11:36,05h 30m,28-07-2024 17:06,0,0,0
16,Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Vivek Travels,A/C Seater / Sleeper (2+1),28-07-2024 12:01,04h 29m,28-07-2024 16:30,0,0,0
17,Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Saurabh Travels,A/C Seater Push Back (2+2),28-07-2024 12:30,06h 00m,28-07-2024 18:30,0,0,0
18,Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Saurabh Travels,A/C Seater Push Back (2+2),28-07-2024 12:30,06h 31m,28-07-2024 19:01,0,0,0
19,Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Saurabh Travels,A/C Seater Push Back (2+2),28-07-2024 12:59,04h 46m,28-07-2024 17:45,0,0,0
20,Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Saurabh Travels,A/C Seater Push Back (2+2),28-07-2024 13:11,05h 50m,28-07-2024 19:01,0,0,0
21,Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Saurabh Travels,A/C Seater Push Back (2+2),28-07-2024 13:31,04h 59m,28-07-2024 18:30,0,0,0
22,Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Saurabh Travels,A/C Seater Push Back (2+2),28-07-2024 14:01,04h 59m,28-07-2024 19:00,0,0,0
23,Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Jai Hanuman Travels,A/C Seater / Sleeper (2+2),28-07-2024 14:30,05h 30m,28-07-2024 20:00,0,0,0
24,Bettiah to Patna (Bihar),https://www.redbus.in/bus-tickets/bettiah-to-patna,Jai Mata Di Tour and Travels,A/C Seater / Sleeper (2+2),28-07-2024 16:01,07h 58m,28-07-2024 23:59,0,0,0
25,Darbhanga to Patna (Bihar),https://www.redbus.in/bus-tickets/darbhanga-to-patna,Bihar state road transport corporation (BSRTC) - 150470,AC Seater (2+2),28-07-2024 16:16,05h 00m,28-07-2024 21:16,1.6,248,18
26,Darbhanga to Patna (Bihar),https://www.redbus.in/bus-tickets/darbhanga-to-patna,Bihar state road transport corporation (BSRTC) - 150466,Non AC Seater (2+3),28-07-2024 17:31,05h 00m,28-07-2024 22:31,1.8,193,0
27,Darbhanga to Patna (Bihar),https://www.redbus.in/bus-tickets/darbhanga-to-patna,Bihar state road transport corporation (BSRTC) - 150464,Non AC Seater (2+2),28-07-2024 19:01,04h 44m,28-07-2024 23:45,2,213,0
28,Darbhanga to Patna (Bihar),https://www.redbus.in/bus-tickets/darbhanga-to-patna,Sri Krishna Tours and Travels,A/C Seater Push Back (2+2),28-07-2024 19:39,05h 24m,29-07-2024 01:03,3.1,330,0
29,Darbhanga to Patna (Bihar),https://www.redbus.in/bus-tickets/darbhanga-to-patna,Sri Krishna Tours and Travels,A/C Seater Push Back (2+2),28-07-2024 20:01,05h 00m,29-07-2024 01:01,3.1,330,0
30,Darbhanga to Patna (Bihar),https://www.redbus.in/bus-tickets/darbhanga-to-patna,Sri Krishna Tours and Travels,A/C Seater Push Back (2+2),28-07-2024 21:27,06h 15m,29-07-2024 03:42,3.7,330,0
31,Darbhanga to Patna (Bihar),https://www.redbus.in/bus-tickets/darbhanga-to-patna,Sadhvi Rath,A/C Seater / Sleeper (2+1),28-07-2024 21:31,05h 59m,29-07-2024 03:30,2.3,250,0
32,Darbhanga to Patna (Bihar),https://www.redbus.in/bus-tickets/darbhanga-to-patna,V.I.P Travels,Tata A/C Seater (2+2),28-07-2024 22:01,05h 00m,29-07-2024 03:01,1.9,220,0
33,Darbhanga to Patna (Bihar),https://www.redbus.in/bus-tickets/darbhanga-to-patna,V.I.P Travels,NON A/C Seater Push Back (2+2),28-07-2024 22:09,07h 16m,29-07-2024 05:25,1.9,300,0
34,Darbhanga to Patna (Bihar),https://www.redbus.in/bus-tickets/darbhanga-to-patna,Shiv Ganga Travels,NON A/C Seater Push Back (2+2),28-07-2024 22:45,06h 45m,29-07-2024 05:30,2.1,330,0
35,Darbhanga to Patna (Bihar),https://www.redbus.in/bus-tickets/darbhanga-to-patna,Shiv Ganga Travels,AC Seater (2+2),28-07-2024 23:13,07h 18m,29-07-2024 06:31,2.1,330,0
36,Darbhanga to Patna (Bihar),https://www.redbus.in/bus-tickets/darbhanga-to-patna,Shiv Ganga Travels,AC Seater (2+2),28-07-2024 23:18,06h 45m,29-07-2024 06:03,2.1,330,0
37,Darbhanga to Patna (Bihar),https://www.redbus.in/bus-tickets/darbhanga-to-patna,Shiv Ganga Travels,A/C Seater (2+2),28-07-2024 23:30,05h 30m,29-07-2024 05:00,2.1,350,0
38,Darbhanga to Patna (Bihar),https://www.redbus.in/bus-tickets/darbhanga-to-patna,Sri Krishna Tours and Travels,A/C Seater Push Back (2+2),28-07-2024 23:36,06h 40m,29-07-2024 06:16,2.7,330,0
39,Darbhanga to Patna (Bihar),https://www.redbus.in/bus-tickets/darbhanga-to-patna,Sri Krishna Tours and Travels,A/C Seater Push Back (2+2),28-07-2024 23:51,04h 54m,29-07-2024 04:45,2.8,330,0
40,Darbhanga to Patna (Bihar),https://www.redbus.in/bus-tickets/darbhanga-to-patna,Shiv Ganga Travels,A/C Seater (2+2),28-07-2024 23:58,05h 02m,29-07-2024 05:00,2.1,650,0
41,Darbhanga to Patna (Bihar),https://www.redbus.in/bus-tickets/darbhanga-to-patna,Sri Krishna Tours and Travels,A/C Seater / Sleeper (2+1),28-07-2024 23:58,05h 16m,29-07-2024 05:14,3.1,0,0
42,Darbhanga to Patna (Bihar),https://www.redbus.in/bus-tickets/darbhanga-to-patna,Aarush Krrish,A/C Seater / Sleeper (2+1),28-07-2024 17:00,06h 20m,28-07-2024 23:20,1.9,0,0
43,Darbhanga to Patna (Bihar),https://www.redbus.in/bus-tickets/darbhanga-to-patna,Sri Krishna Rath,A/C Seater / Sleeper (2+2),28-07-2024 19:00,06h 10m,29-07-2024 01:10,1.6,0,0
44,Darbhanga to Patna (Bihar),https://www.redbus.in/bus-tickets/darbhanga-to-patna,Sri Krishna Rath,A/C Seater / Sleeper (2+2),28-07-2024 23:59,06h 06m,29-07-2024 06:05,0,0,0
